CartonIDS,CartonNum,Gap,Length,Barcode,Timestamp,Recirc
CartonID,187,20.86,15.1235,SD0001GOOD_001_v,2022-05-13T21:44:04.178Z,41
CartonID,188,10.43,19.2955,SD0001GOOD_001_v,2022-05-13T21:44:04.458Z,41
CartonID,189,20.3385,18.774,SD0008GOOD_001_v,2022-05-13T21:44:04.685Z,41
CartonID,190,16.1665,16.688,SD0006GOOD_001_v,2022-05-13T21:44:04.993Z,41
CartonID,191,42.2415,18.774,SD0001GOOD_001_v,2022-05-13T21:44:05.248Z,41
CartonID,192,5.7365,16.1665,SD0002GOOD_001_v,2022-05-13T21:44:05.714Z,41
CartonID,193,8.865499,18.2525,SD0001GOOD_001_v,2022-05-13T21:44:05.881Z,41
CartonID,194,8.344,19.2955,SD0009GOOD_001_v,2022-05-13T21:44:06.087Z,41
CartonID,195,9.9085,18.774,SD0008GOOD_001_v,2022-05-13T21:44:06.306Z,41
CartonID,196,5.215,0,SD0003GOOD_001_v,2022-05-13T21:44:06.529Z,0
CartonID,197,36.505,20.86,SD0009GOOD_001_v,2022-05-13T21:44:06.712Z,41
CartonID,198,5.7365,16.1665,SD0010GOOD_001_v,2022-05-13T21:44:07.158Z,41
CartonID,199,8.865499,18.774,SD0004GOOD_001_v,2022-05-13T21:44:07.332Z,41
CartonID,200,16.1665,24.5105,SD0009GOOD_001_v,2022-05-13T21:44:07.547Z,41
CartonID,201,14.0805,0,SD0001GOOD_001_v,2022-05-13T21:44:07.863Z,0
CartonID,202,0,1.043,0000000000,2022-05-13T21:44:08.045Z,41
CartonID,203,10.43,15.645,SD0010GOOD_001_v,2022-05-13T21:44:08.208Z,41
CartonID,204,21.3815,15.645,SD0010GOOD_001_v,2022-05-13T21:44:08.414Z,41
CartonID,205,6.258,19.2955,SD0006GOOD_001_v,2022-05-13T21:44:08.698Z,41
CartonID,206,7.8225,18.774,SD0008GOOD_001_v,2022-05-13T21:44:08.905Z,41
CartonID,207,6.7795,19.2955,SD0004GOOD_001_v,2022-05-13T21:44:09.108Z,41
CartonID,208,8.344,18.774,SD0001GOOD_001_v,2022-05-13T21:44:09.314Z,41
CartonID,209,5.7365,14.602,SD0007GOOD_001_v,2022-05-13T21:44:09.525Z,41
CartonID,210,10.43,19.2955,SD0005GOOD_001_v,2022-05-13T21:44:09.695Z,41
CartonID,211,6.258,19.2955,SD0009GOOD_001_v,2022-05-13T21:44:09.926Z,41
CartonID,212,34.419,18.774,SD0006GOOD_001_v,2022-05-13T21:44:10.121Z,41
CartonID,213,28.6825,19.2955,SD0001GOOD_001_v,2022-05-13T21:44:10.526Z,41
CartonID,214,31.29,18.774,SD0003GOOD_001_v,2022-05-13T21:44:10.891Z,41
CartonID,215,21.903,19.817,SD0007GOOD_001_v,2022-05-13T21:44:11.281Z,41
CartonID,216,11.473,15.1235,SD0005GOOD_001_v,2022-05-13T21:44:11.597Z,41
CartonID,217,5.7365,18.774,SD0004GOOD_001_v,2022-05-13T21:44:11.808Z,41
CartonID,218,6.258,18.2525,SD0010GOOD_001_v,2022-05-13T21:44:12.002Z,41
CartonID,219,6.258,0,SD0007GOOD_001_v,2022-05-13T21:44:12.193Z,41
CartonID,220,0,43.806,SD0002GOOD_001_v,2022-05-13T21:44:12.351Z,0
CartonID,221,39.634,18.774,SD0003GOOD_001_v,2022-05-13T21:44:12.582Z,41
CartonID,222,5.7365,18.774,SD0008GOOD_001_v,2022-05-13T21:44:13.028Z,41
CartonID,223,18.774,19.817,SD0008GOOD_001_v,2022-05-13T21:44:13.226Z,41
CartonID,224,45.892,18.774,SD0002GOOD_001_v,2022-05-13T21:44:13.522Z,41
CartonID,225,5.215,18.2525,SD0006GOOD_001_v,2022-05-13T21:44:14.017Z,41
CartonID,226,10.43,19.817,SD0008GOOD_001_v,2022-05-13T21:44:14.203Z,41
CartonID,227,6.258,17.2095,SD0007GOOD_001_v,2022-05-13T21:44:14.435Z,41
CartonID,228,25.5535,19.817,SD0003GOOD_001_v,2022-05-13T21:44:14.625Z,41
CartonID,229,5.215,20.86,SD0005GOOD_001_v,2022-05-13T21:44:14.966Z,41
CartonID,230,7.8225,19.2955,SD0003GOOD_001_v,2022-05-13T21:44:15.168Z,41
CartonID,231,19.2955,18.774,SD0003GOOD_001_v,2022-05-13T21:44:15.375Z,41
CartonID,232,6.7795,18.774,SD0001GOOD_001_v,2022-05-13T21:44:15.671Z,41
CartonID,233,10.43,15.645,SD0008GOOD_001_v,2022-05-13T21:44:15.878Z,41
CartonID,234,5.7365,15.1235,SD0007GOOD_001_v,2022-05-13T21:44:16.081Z,41
CartonID,235,21.903,19.817,SD0002GOOD_001_v,2022-05-13T21:44:16.239Z,41
CartonID,236,19.817,18.774,SD0004GOOD_001_v,2022-05-13T21:44:16.559Z,41
CartonID,237,10.43,18.774,SD0001GOOD_001_v,2022-05-13T21:44:16.859Z,41
CartonID,238,11.473,18.774,SD0006GOOD_001_v,2022-05-13T21:44:17.090Z,41
CartonID,239,7.301,15.1235,SD0010GOOD_001_v,2022-05-13T21:44:17.329Z,41
CartonID,240,4.6935,19.817,SD0010GOOD_001_v,2022-05-13T21:44:17.508Z,41
CartonID,241,10.9515,18.774,SD0009GOOD_001_v,2022-05-13T21:44:17.698Z,41
CartonID,242,5.7365,15.645,SD0009GOOD_001_v,2022-05-13T21:44:17.937Z,41
CartonID,243,5.215,18.774,SD0004GOOD_001_v,2022-05-13T21:44:18.108Z,41
CartonID,244,6.258,19.817,SD0007GOOD_001_v,2022-05-13T21:44:18.290Z,41
CartonID,245,15.1235,18.774,??????????,2022-05-13T21:44:18.493Z,41
CartonID,246,6.7795,17.731,SD0001GOOD_001_v,2022-05-13T21:44:18.756Z,41
CartonID,247,9.9085,16.1665,SD0009GOOD_001_v,2022-05-13T21:44:18.955Z,41
CartonID,248,28.161,18.774,SD0006GOOD_001_v,2022-05-13T21:44:19.162Z,41
CartonID,249,10.9515,18.774,SD0006GOOD_001_v,2022-05-13T21:44:19.522Z,41
CartonID,250,15.1235,15.1235,SD0008GOOD_001_v,2022-05-13T21:44:19.753Z,41
CartonID,251,16.1665,14.602,SD0007GOOD_001_v,2022-05-13T21:44:19.997Z,41
CartonID,252,5.7365,19.817,SD0006GOOD_001_v,2022-05-13T21:44:20.236Z,41
CartonID,253,21.3815,18.774,SD0006GOOD_001_v,2022-05-13T21:44:20.426Z,41
CartonID,254,5.7365,19.2955,SD0004GOOD_001_v,2022-05-13T21:44:20.735Z,41
CartonID,255,8.344,15.1235,SD0010GOOD_001_v,2022-05-13T21:44:20.937Z,41
CartonID,256,8.344,17.731,SD0009GOOD_001_v,2022-05-13T21:44:21.124Z,41
CartonID,257,4.6935,18.774,SD0006GOOD_001_v,2022-05-13T21:44:21.322Z,41
CartonID,258,41.1985,19.817,SD0006GOOD_001_v,2022-05-13T21:44:21.513Z,41
CartonID,259,11.9945,18.774,SD0010GOOD_001_v,2022-05-13T21:44:21.975Z,41
CartonID,260,17.731,18.774,SD0002GOOD_001_v,2022-05-13T21:44:22.214Z,41
CartonID,261,6.258,16.1665,SD0002GOOD_001_v,2022-05-13T21:44:22.502Z,41
CartonID,262,20.3385,16.1665,SD0007GOOD_001_v,2022-05-13T21:44:22.672Z,41
CartonID,263,14.602,18.774,SD0005GOOD_001_v,2022-05-13T21:44:22.952Z,41
CartonID,264,13.0375,18.774,SD0001GOOD_001_v,2022-05-13T21:44:23.212Z,41
CartonID,265,4.172,16.1665,SD0004GOOD_001_v,2022-05-13T21:44:23.459Z,41
CartonID,266,7.301,19.2955,SD0009GOOD_001_v,2022-05-13T21:44:23.621Z,41
CartonID,267,11.9945,18.774,SD0003GOOD_001_v,2022-05-13T21:44:23.820Z,41
CartonID,268,5.215,14.602,SD0002GOOD_001_v,2022-05-13T21:44:24.059Z,41
CartonID,269,5.7365,18.774,SD0009GOOD_001_v,2022-05-13T21:44:24.213Z,41
CartonID,270,10.9515,19.2955,SD0002GOOD_001_v,2022-05-13T21:44:24.407Z,41
