Number,Event_Timestamp,Duration,Class,Location,Description,Tag
36925859,21:31.0,838:59:59,Error,CH-21208.FIO1,I/O Module Fault,[MCP04]CH21208_FIO1_Mod_OK
36925847,21:12.0,838:59:59,Error,CH-20603.FIO1,I/O Module Fault,[MCP04]CH20603_FIO1_Mod_OK
36925773,17:28.0,838:59:59,Error,CH-21004.FIO1,I/O Module Fault,[MCP04]CH21004_FIO1_Mod_OK
36925677,16:08.0,838:59:59,Error,CH-20503.FIO1,I/O Module Fault,[MCP04]CH20503_FIO1_Mod_OK
36925299,08:09.0,838:59:59,Error,CH-20604.FIO1,I/O Module Fault,[MCP04]CH20604_FIO1_Mod_OK
36925113,02:36.0,838:59:59,Error,CH-21406.FIO1,I/O Module Fault,[MCP04]CH21406_FIO1_Mod_OK
36925091,02:09.0,838:59:59,Error,CH-21503.FIO1,I/O Module Fault,[MCP04]CH21503_FIO1_Mod_OK
36925049,59:54.0,838:59:59,Error,CH-21106.FIO1,I/O Module Fault,[MCP04]CH21106_FIO1_Mod_OK
36915250,58:06.0,838:59:59,Error,RE1-9.EPC1,Actuated,[MCP05]RE01_09_EPC1_STN.Ctrl.Out_EStop
36915248,58:06.0,838:59:59,Error,RE1-9.EPC2,Actuated,[MCP05]RE01_09_EPC2_STN.Ctrl.Out_EStop
36915242,58:06.0,838:59:59,Error,RE1-9.EPC3,Actuated,[MCP05]RE01_09_EPC3_STN.Ctrl.Out_EStop
36915206,57:35.0,838:59:59,Error,CH-20422-CH.Jam_PE,Jammed,[MCP03]Spiral[40].Ch_Jam_PE.Ctrl.Out_FaultPE
36913278,18:51.0,838:59:59,Error,AS3-9CH.DIV,Retract PX Faulted,[MCP05]AS03_09CH.DIV.Ctrl.Out_Rtr_Px_Fault
36912777,09:43.0,838:59:59,Error,AS3-7CH.DIV,Extend PX Faulted,[MCP05]AS03_07CH.DIV.Ctrl.Out_Ext_Px_Fault
36912402,02:10.0,838:59:59,Error,AS3-8CH.DIV,Retract PX Faulted,[MCP05]AS03_08CH.DIV.Ctrl.Out_Rtr_Px_Fault
36910706,29:40.0,838:59:59,Error,AS1-1CH.Jam_PE,Jammed,[MCP05]AS01_01CH.Jam_PE.Ctrl.Out_FaultPE
36909780,10:52.0,838:59:59,Error,PS3-4.EPC2,Actuated,[MCP05]PS03_04_EPC2_STN.Ctrl.Out_EStop
36909751,10:36.0,838:59:59,Error,PS3-4.EPC1,Actuated,[MCP05]PS03_04_EPC1_STN.Ctrl.Out_EStop
36909349,06:02.0,838:59:59,Error,PS3-5.EPC2,Actuated,[MCP05]PS03_05_EPC2_STN.Ctrl.Out_EStop
36904838,18:18.0,838:59:59,Error,PS5-6.EPC2,Actuated,[MCP07]PS05_06_EPC2_STN.Ctrl.Out_EStop
36902675,22:53.0,838:59:59,Error,PS2-18.EPC2,Actuated,[MCP06]PS02_18_EPC2_STN.Ctrl.Out_EStop
36893608,37:42.0,838:59:59,Error,PS2-5.EPC1,Actuated,[MCP06]PS02_05_EPC1_STN.Ctrl.Out_EStop
36893616,37:42.0,838:59:59,Error,PS2-5.EPC3,Actuated,[MCP06]PS02_05_EPC3_STN.Ctrl.Out_EStop
36893597,37:42.0,838:59:59,Error,PS4-2.EPC1,Actuated,[MCP06]PS04_02_EPC1_STN.Ctrl.Out_EStop
36893615,37:42.0,838:59:59,Error,PS4-2.EPC2,Actuated,[MCP06]PS04_02_EPC2_STN.Ctrl.Out_EStop
36893606,37:42.0,838:59:59,Error,RE4-10.EPC1,Actuated,[MCP06]RE04_10_EPC1_STN.Ctrl.Out_EStop
36893558,37:41.0,838:59:59,Error,PS2-10.EPC2,Actuated,[MCP06]PS02_10_EPC2_STN.Ctrl.Out_EStop
36893556,37:41.0,838:59:59,Error,PS4-4.EPC1,Actuated,[MCP06]PS04_04_EPC1_STN.Ctrl.Out_EStop
36893560,37:41.0,838:59:59,Error,PS4-4.EPC2,Actuated,[MCP06]PS04_04_EPC2_STN.Ctrl.Out_EStop
36893569,37:41.0,838:59:59,Error,PS4-5.EPC2,Actuated,[MCP06]PS04_05_EPC2_STN.Ctrl.Out_EStop
36893567,37:41.0,838:59:59,Error,RE4-10.EPC2,Actuated,[MCP06]RE04_10_EPC2_STN.Ctrl.Out_EStop
36893366,35:37.0,838:59:59,Error,PS2-16.EPC1,Actuated,[MCP06]PS02_16_EPC1_STN.Ctrl.Out_EStop
36893356,35:36.0,838:59:59,Error,PS2-16.EPC2,Actuated,[MCP06]PS02_16_EPC2_STN.Ctrl.Out_EStop
36891206,39:07.0,838:59:59,Error,PS5-1.EPC1,Actuated,[MCP07]PS05_01_EPC1_STN.Ctrl.Out_EStop
36888876,36:42.0,838:59:59,Error,ARF1-2.FIO1,I/O Module Fault,[MCP07]ARF01_02_FIO1_Mod_OK
36888877,36:42.0,838:59:59,Error,ARF2-2.FIO1,I/O Module Fault,[MCP07]ARF02_02_FIO1_Mod_OK
36888871,36:41.0,838:59:59,Error,ARF1-1CH.SIO1,I/O Module Fault,[MCP07]ARF01_01CH_SIO1_Mod_OK
36888501,26:13.0,838:59:59,Error,ARF1-2,Circuit Breaker Fault in DPB Panel,[MCP07]ARF01_02.Fault.Flt_CB
36888434,24:24.0,838:59:59,Error,ARF2-2,Circuit Breaker Fault in DPB Panel,[MCP07]ARF02_02.Fault.Flt_CB
36852151,46:34.0,838:59:59,Error,AS3-10CH.Jam_PE,Jammed,[MCP05]AS03_10CH.Jam_PE.Ctrl.Out_FaultPE
36850888,13:59.0,838:59:59,Error,RE2-25.EPC1,Actuated,[MCP06]RE02_25_EPC1_STN.Ctrl.Out_EStop
36850765,11:07.0,838:59:59,Error,RE2-25.EPC2,Actuated,[MCP06]RE02_25_EPC2_STN.Ctrl.Out_EStop
36850756,10:57.0,838:59:59,Error,RE2-25.EPC3,Actuated,[MCP06]RE02_25_EPC3_STN.Ctrl.Out_EStop
36850317,00:54.0,838:59:59,Error,RE2-24.EPC1,Actuated,[MCP06]RE02_24_EPC1_STN.Ctrl.Out_EStop
36850298,00:46.0,838:59:59,Error,RE2-24.EPC2,Actuated,[MCP06]RE02_24_EPC2_STN.Ctrl.Out_EStop
36849581,43:30.0,838:59:59,Error,CH-20307-CH.Jam_PE,Jammed,[MCP04]Spiral[31].Ch_Jam_PE.Ctrl.Out_FaultPE
36849363,37:27.0,838:59:59,Error,ARF2-2.EPC1,Actuated,[MCP07]ARF02_02_EPC1_STN.Ctrl.Out_EStop
36841839,00:29.0,838:59:59,Error,PS5-3.VFD,Disconnect Fault,[MCP07]PS05_03_ENET.Fault.Disc_Flt
36841837,00:29.0,838:59:59,Error,PS5-5PT.VFD,Disconnect Fault,[MCP07]PS05_05PT_ENET.Fault.Disc_Flt
36841833,00:28.0,838:59:59,Error,PS5-4PT.VFD,Disconnect Fault,[MCP07]PS05_04PT_ENET.Fault.Disc_Flt
36841804,59:57.0,838:59:59,Error,ARF1-2.EPC1,Actuated,[MCP07]ARF01_02_EPC1_STN.Ctrl.Out_EStop
36841799,59:57.0,838:59:59,Error,PRS4-1.EPC1,Actuated,[MCP07]PRS04_01_EPC1_STN.Ctrl.Out_EStop
36841798,59:57.0,838:59:59,Error,PRS4-1.EPC2,Actuated,[MCP07]PRS04_01_EPC2_STN.Ctrl.Out_EStop
36789061,34:58.0,838:59:59,Error,PS2-14,Circuit Breaker Fault in DPB Panel,[MCP06]PS02_14.Fault.Flt_CB
36788898,34:58.0,838:59:59,Error,PS2-16,Circuit Breaker Fault in DPB Panel,[MCP06]PS02_16.Fault.Flt_CB
36788303,34:58.0,838:59:59,Error,PS2-16.PS1,Air Pressure Fault,[MCP06]PS02_16_PS1
36790659,34:58.0,838:59:59,Error,PS2-18.EPC1,Actuated,[MCP06]PS02_18_EPC1_STN.Ctrl.Out_EStop
36790634,34:58.0,838:59:59,Error,PS2-20.EPC1,Actuated,[MCP06]PS02_20_EPC1_STN.Ctrl.Out_EStop
36790674,34:58.0,838:59:59,Error,PS2-20.EPC2,Actuated,[MCP06]PS02_20_EPC2_STN.Ctrl.Out_EStop
36788908,34:58.0,838:59:59,Error,RE2-24,Circuit Breaker Fault in DPB Panel,[MCP06]RE02_24.Fault.Flt_CB
