Number (ID),Start Timestamp,End Timestamp,Duration,Class,Location,Description,Tag
42846813,2022-06-23 23:40:11.0,2022-06-23 23:40:12.0,00:00:01,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846798,2022-06-23 23:39:57.0,2022-06-23 23:39:59.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846730,2022-06-23 23:39:35.0,2022-06-23 23:42:29.0,00:02:54,Error,FMS-DIV.PS1-11.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_11_TO_PS02
42846701,2022-06-23 23:39:31.0,2022-06-23 23:39:35.0,00:00:04,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846686,2022-06-23 23:39:23.0,2022-06-23 23:39:24.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42846664,2022-06-23 23:39:08.0,2022-06-23 23:39:21.0,00:00:13,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846650,2022-06-23 23:38:58.0,2022-06-23 23:39:02.0,00:00:04,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846602,2022-06-23 23:38:38.0,2022-06-23 23:39:22.0,00:00:44,Error,FMS-DIV.PS1-11.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_11_TO_PS02
42846569,2022-06-23 23:38:32.0,2022-06-23 23:38:36.0,00:00:04,Error,PS5-6.VFD,VFD Fault,[MCP07]PS05_06_ENET.Fault.VFD_Flt
42846542,2022-06-23 23:38:25.0,2022-06-23 23:38:52.0,00:00:27,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846525,2022-06-23 23:38:19.0,2022-06-23 23:39:52.0,00:01:33,Error,BSB1-21,Overlength Fault,[MCP21]BSB1_21_HMI.Status.24
42846460,2022-06-23 23:37:36.0,2022-06-23 23:37:38.0,00:00:02,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
42846450,2022-06-23 23:37:35.0,2022-06-23 23:37:36.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42846445,2022-06-23 23:37:35.0,2022-06-23 23:38:34.0,00:00:59,Error,RE3-10,Anti-Gridlock Prevention Mode,[MCP05]RE03_10.Color.Output.5
42846443,2022-06-23 23:37:35.0,2022-06-23 23:38:34.0,00:00:59,Error,PS3 Loop,No Demand,[MCP05]FMS_PS03_Loop_Curr_PPM_Demand
42846344,2022-06-23 23:37:04.0,2022-06-23 23:37:10.0,00:00:06,Error,UL9-2,Anti-Gridlock Prevention Mode,[MCP01]UL09_02.Color.Output.5
42846342,2022-06-23 23:37:04.0,2022-06-23 23:37:10.0,00:00:06,Error,UL10-2,Anti-Gridlock Prevention Mode,[MCP01]UL10_02.Color.Output.5
42846340,2022-06-23 23:37:04.0,2022-06-23 23:37:10.0,00:00:06,Error,UL12-2,Anti-Gridlock Prevention Mode,[MCP01]UL12_02.Color.Output.5
42846304,2022-06-23 23:36:56.0,2022-06-23 23:38:18.0,00:01:22,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846300,2022-06-23 23:36:56.0,2022-06-23 23:36:58.0,00:00:02,Error,UL3-2,Anti-Gridlock Prevention Mode,[MCP07]UL03_02.Color.Output.5
42846298,2022-06-23 23:36:56.0,2022-06-23 23:36:57.0,00:00:01,Error,UL3-1,Anti-Gridlock Prevention Mode,[MCP07]UL03_01.Color.Output.5
42846296,2022-06-23 23:36:56.0,2022-06-23 23:36:58.0,00:00:02,Error,UL7-1,Anti-Gridlock Prevention Mode,[MCP01]UL07_01.Color.Output.5
42846294,2022-06-23 23:36:56.0,2022-06-23 23:37:11.0,00:00:15,Error,UL6-2,Anti-Gridlock Prevention Mode,[MCP07]UL06_02.Color.Output.5
42846292,2022-06-23 23:36:56.0,2022-06-23 23:37:11.0,00:00:15,Error,UL9-1,Anti-Gridlock Prevention Mode,[MCP01]UL09_01.Color.Output.5
42846290,2022-06-23 23:36:56.0,2022-06-23 23:37:11.0,00:00:15,Error,UL6-1,Anti-Gridlock Prevention Mode,[MCP07]UL06_01.Color.Output.5
